연도,시도,시군구,읍면동,일반수급자 가구수,일반수급자 수급권자수,조건부수급자 가구수,조건부수급자 수급권자수,특례수급자 가구수,특례수급자 수급권자수,기타 가구수,기타 수급권자수,시설수급자 가구수,시설수급자 수급권자수
2022,부산광역시,영도구,동삼2동,209,296,24,46,1,2,0,0,1,1
2022,부산광역시,영도구,동삼3동,2191,2639,207,343,21,25,0,0,5,5
2022,부산광역시,부산진구,부산진구,2,2,0,0,0,0,0,0,91,91
2022,부산광역시,부산진구,부전1동,1032,1179,192,270,16,20,0,0,2,2
2022,부산광역시,부산진구,부전2동,357,425,84,102,4,4,0,0,0,0
2022,부산광역시,부산진구,연지동,524,693,64,130,7,13,0,0,0,0
2022,부산광역시,부산진구,초읍동,960,1249,123,238,11,14,0,0,8,8
2022,부산광역시,부산진구,양정1동,689,862,102,165,10,14,0,0,0,0
2022,부산광역시,부산진구,양정2동,479,596,61,95,4,4,0,0,0,0
2022,부산광역시,부산진구,전포1동,636,791,81,123,14,16,0,0,2,2
2022,부산광역시,부산진구,전포2동,1247,1671,164,294,21,28,0,0,1,1
2022,부산광역시,부산진구,부암1동,648,807,100,179,6,12,0,0,0,0
2022,부산광역시,부산진구,부암3동,529,723,53,84,6,9,0,0,0,0
2022,부산광역시,부산진구,당감1동,1128,1547,190,352,19,26,0,0,2,2
2022,부산광역시,부산진구,당감2동,291,369,41,69,3,4,0,0,0,0
2022,부산광역시,부산진구,당감4동,539,755,63,138,4,4,0,0,2,2
2022,부산광역시,부산진구,가야1동,1080,1407,133,231,26,31,0,0,0,0
2022,부산광역시,부산진구,가야2동,440,577,74,136,6,8,0,0,0,0
2022,부산광역시,부산진구,개금1동,581,740,111,171,11,14,0,0,9,9
2022,부산광역시,부산진구,개금2동,494,668,68,115,3,3,0,0,0,0
2022,부산광역시,부산진구,개금3동,1506,1921,154,263,11,12,0,0,3,3
2022,부산광역시,부산진구,범천1동,519,628,74,99,5,5,0,0,0,0
2022,부산광역시,부산진구,범천2동,1145,1480,146,265,12,14,0,0,21,21
2022,부산광역시,동래구,동래구,6,5,0,0,0,0,0,0,440,440
2022,부산광역시,동래구,수민동,757,1009,18,36,22,29,0,0,4,4
2022,부산광역시,동래구,복산동,575,718,17,32,13,14,0,0,0,0
2022,부산광역시,동래구,명륜동,407,548,8,12,13,14,0,0,2,2
2022,부산광역시,동래구,온천1동,904,1078,32,48,14,18,0,0,6,6
2022,부산광역시,동래구,온천2동,400,531,12,25,12,14,0,0,46,46
2022,부산광역시,동래구,온천3동,1363,1927,43,81,21,24,0,0,1,1
2022,부산광역시,동래구,사직1동,438,585,13,17,11,17,0,0,0,0
2022,부산광역시,동래구,사직2동,240,366,6,14,5,9,0,0,0,0
2022,부산광역시,동래구,사직3동,846,1263,28,48,13,23,0,0,0,0
2022,부산광역시,동래구,안락1동,714,939,20,37,17,24,0,0,0,0
2022,부산광역시,동래구,안락2동,851,1187,16,30,13,19,0,0,0,0
2022,부산광역시,동래구,명장1동,594,801,20,36,27,41,0,0,0,0
2022,부산광역시,동래구,명장2동,665,937,20,48,15,20,0,0,4,4
2022,부산광역시,남구,남구,0,0,0,0,0,0,0,0,104,104
2022,부산광역시,남구,대연1동,560,737,78,127,16,21,0,0,2,2
2022,부산광역시,남구,대연3동,316,416,40,53,11,13,0,0,0,0
2022,부산광역시,남구,대연4동,576,749,62,115,10,13,0,0,0,0
2022,부산광역시,남구,대연5동,499,674,60,93,19,27,0,0,0,0
2022,부산광역시,남구,대연6동,257,335,13,22,11,15,0,0,0,0
2022,부산광역시,남구,용호1동,958,1263,109,180,41,52,0,0,4,4
2022,부산광역시,남구,용호2동,374,500,23,39,10,11,0,0,1,1
2022,부산광역시,남구,용호3동,682,881,73,119,32,39,0,0,1,1
2022,부산광역시,남구,용호4동,381,539,41,86,16,22,0,0,0,0
2022,부산광역시,남구,용당동,257,333,16,26,11,13,0,0,1,1
2022,부산광역시,남구,감만1동,476,639,47,77,18,25,0,0,2,2
2022,부산광역시,남구,감만2동,438,567,34,55,10,13,0,0,0,0
2022,부산광역시,남구,우암동,594,735,58,100,22,28,0,0,0,0
2022,부산광역시,남구,문현1동,499,697,33,67,17,26,0,0,1,1
2022,부산광역시,남구,문현2동,584,671,49,77,21,23,0,0,0,0
2022,부산광역시,남구,문현3동,403,530,34,55,21,31,0,0,1,1
2022,부산광역시,남구,문현4동,406,526,44,70,15,19,0,0,0,0
2022,부산광역시,북구,북구,3,3,0,0,0,0,0,0,178,178
2022,부산광역시,북구,구포1동,916,1172,244,418,65,79,0,0,4,4
2022,부산광역시,북구,구포2동,1067,1380,211,340,14,16,0,0,3,3
2022,부산광역시,북구,구포3동,1159,1671,324,606,22,30,0,0,9,9
2022,부산광역시,북구,금곡동,4539,5520,523,952,131,166,0,0,1,1
2022,부산광역시,북구,화명1동,236,346,39,89,2,2,0,0,0,0
2022,부산광역시,북구,화명2동,413,605,82,185,4,5,0,0,20,20
2022,부산광역시,북구,화명3동,185,261,33,58,9,10,0,0,0,0
2022,부산광역시,북구,덕천1동,1264,1484,157,269,47,52,0,0,5,5
2022,부산광역시,북구,덕천2동,720,921,211,351,28,38,0,0,4,4
2022,부산광역시,북구,덕천3동,1508,1872,190,358,45,57,0,0,3,3
2022,부산광역시,북구,만덕1동,380,489,60,112,11,15,0,0,1,1
2022,부산광역시,북구,만덕2동,1042,1614,182,375,30,44,0,0,10,10
2022,부산광역시,북구,만덕3동,444,591,66,128,10,14,0,0,2,2
2022,부산광역시,해운대구,해운대구,1,1,0,0,0,0,0,0,502,502
2022,부산광역시,해운대구,우1동,813,1106,115,195,15,21,0,0,1,1
2022,부산광역시,해운대구,우2동,350,502,38,80,3,4,0,0,7,7
2022,부산광역시,해운대구,우3동,117,171,26,54,0,0,0,0,0,0
2022,부산광역시,해운대구,중1동,576,738,123,204,5,6,0,0,0,0
2022,부산광역시,해운대구,중2동,497,643,104,163,4,6,0,0,0,0
2022,부산광역시,해운대구,좌1동,289,458,47,87,1,1,0,0,0,0
2022,부산광역시,해운대구,좌2동,456,718,88,172,3,5,0,0,0,0
2022,부산광역시,해운대구,좌3동,270,383,50,114,5,6,0,0,0,0
2022,부산광역시,해운대구,좌4동,227,351,28,64,1,1,0,0,0,0
2022,부산광역시,해운대구,송정동,882,1242,129,253,3,5,0,0,18,18
2022,부산광역시,해운대구,반여1동,668,945,88,163,6,6,0,0,0,0
